source,target,value
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",symantec endpoint protection manager,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",symantec endpoint protection manager,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",tadaa%21 project tadaa%21,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",room reservations project room reservations,3.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",google chrome,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apple iphone os,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple iphone os,4.3
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",apple iphone os,2.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",debian debian linux,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",inductiveautomation ignition,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ecava integraxor,4.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",inductiveautomation ignition,6.4
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",inductiveautomation ignition,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",inductiveautomation ignition,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",schneider electric wonderware intouch 2014,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",servision hvg400,9.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",schneider electric wonderware intouch 2014,2.1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",schneider electric wonderware intouch 2014,3.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",bestpractical request tracker,6.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",linux linux kernel,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",clamav clamav,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",fedoraproject fedora,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",huawei quidway s9700,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",hp integrated lights-out 4 firmware,6.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",wouter verhelst nbd,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",django-markupfield project django-markupfield,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sixapart movabletype,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",wesnoth battle for wesnoth,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",siemens simatic s7-300 cpu,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",canonical ubuntu linux,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",rubyonrails web console,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",adobe air,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",novell opensuse,6.8
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",ibm general parallel file system,4.9
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",ibm general parallel file system,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",paloaltonetworks pan-os,4.0
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",xen xen,4.9
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",linux linux kernel,4.7
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm websphere,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ibm java,7.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",ibm general parallel file system,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",ibm websphere commerce,5.0
"('NETWORK', 'HIGH', 'MULTIPLE_INSTANCES', 'NONE', 'NONE')",canonical ubuntu linux,1.7
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle e-business suite,3.5
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle supply chain products suite,3.6
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",vboxcomm satellite express protocol,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sourceafrica project sourceafrica,4.3
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",zendesk zendesk feedback tab,2.6
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hp operations orchestration,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",hp operations orchestration,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",xcloner xcloner,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco web security appliance,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",mozilla firefox,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox esr,6.8
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox,5.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",mozilla firefox,6.4
"('LOCAL', 'LOW', 'NONE', 'NONE', 'COMPLETE')",microsoft windows,6.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",persian car cms project persian car cms,7.5
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox,2.6
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",garrettcom magnum 10k firmware,7.2
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",linux linux kernel,4.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",wireshark wireshark,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple iphone os,4.3
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",apple iphone os,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",wvware libwmf,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",wvware libwmf,5.0
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",apple mac os x,4.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",ibm websphere commerce,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",tinysrp project tinysrp,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm websphere portal,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",apple mac os x,3.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ip communicator,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",devexpress ajax control toolkit,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple mac os x,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",spider contacts project spider contacts,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",securifi almond-2015,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",securifi almond,6.8
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",securifi almond-2015,7.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",securifi almond-2015,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",searchblox searchblox,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe acrobat dc,0.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",services basic authentication project services basic authentication,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",restful web services project restful web services,5.0
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",sms framework project sms framework,2.6
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",adnovum nevisauth,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",cisco telepresence video communication server software,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco prime collaboration,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco data center analytics framework,6.8
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco virtualization experience client 6000 series firmware,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco email security appliance,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",cisco ios,6.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco identity services engine software,5.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",solarwinds storage manager,0.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco telepresence video communication server software,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",siemens siprotec compact,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",open-xchange open-xchange appsuite,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco nexus 4001i,6.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",moodle moodle,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",djangoproject django,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco telepresence video communication server software,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",zohocorp manageengine assetexplorer,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",moodle moodle,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",moodle moodle,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",moodle moodle,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",moodle moodle,4.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco nx-os,7.2
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",lenovo system update,8.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco email security appliance,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",cisco nexus 4001i,4.6
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco nexus 7000,3.6
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",cisco mds 9700,4.6
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco unified meetingplace,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco adaptive security appliance software,6.8
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco adaptive security appliance software,6.1
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",petition project petition,2.1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",docker docker,3.6
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",docker docker,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",foxitsoftware phantompdf,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",foxitsoftware reader,4.3
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",oracle e-business suite,2.6
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle siebel crm,4.3
"('NETWORK', 'MEDIUM', 'MULTIPLE_INSTANCES', 'NONE', 'NONE')",oracle mysql,5.7
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",websense v-series appliances,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",canonical ubuntu linux,5.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",websense v-series appliances,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",openstack python-keystoneclient,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle hyperion,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",wpsymposium wp symposium,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",apache subversion,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apache http server,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apache http server,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apache http server,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple safari,6.8
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",sun sunos,1.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle supply chain products suite,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",oracle ilearning,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jdk,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",oracle supply chain products suite,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ibm tivoli storage manager fastback,7.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm db2,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ibm websphere application server,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle fusion middleware,5.5
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft .net framework,9.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",microsoft .net framework,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft silverlight,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft .net framework,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows rt,9.3
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt,1.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",pimcore pimcore,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",ge mds pulsenet,9.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",everest peakhmi,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",djangoproject django,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",php php,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",superwebmailer superwebmailer,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",vmware workstation,6.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",vmware workstation,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",huawei seq analyst,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",huawei seq analyst,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle peoplesoft products,4.3
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",linux linux kernel,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",thekelleys dnsmasq,6.4
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",oracle solaris,1.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle virtualization,6.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",canonical ubuntu linux,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle hyperion,4.0
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle database server,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",oracle database server,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco secure access control system,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco secure access control server,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco wireless lan controller software,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco security manager,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco videoscape distribution suite for internet streaming,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence te software,7.8
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco wireless lan controller software,6.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple apple tv,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle enterprise manager plugin for database control,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",fortinet fortios,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sprymedia datatables,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",debian debian linux,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",taxonews project taxonews,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",osinet classified ads,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",patterns patterns,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",alfresco alfresco,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",nodeauthor project nodeauthor,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",levelteninteractive content analysis,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",joshics contact form fields,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",video project video,3.5
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",linkit project linkit,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",term merge project term merge,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",debian debian linux,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",x.org xorg-server,3.6
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",quassel-irc quassel,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",google chrome,6.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",google chrome,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",acme mini httpd,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",redhat jboss portal,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",schneider electric pelco ds-nv,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",fortinet fortiauthenticator,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",fortinet fortiauthenticator,6.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",moxa vport activex sdk plus,7.5
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple apple tv,5.4
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",honeywell excel web xl 1000c1000 600 i%2fo uukl,0.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco unified ip phone 9951,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",fortinet forticlient,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",fortinet fortios,7.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",fortinet fortios,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",restaurantbiller restaurant biller,7.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple iphone os,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",fortinet fortiauthenticator,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",fortinet fortiauthenticator,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",bluecoat unified agent,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens simatic step 7,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",websense triton ap web,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",picketlink picketlink,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",archmage project archmage,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",xmltooling project xmltooling,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",freeimage project freeimage,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ericsson drutt mobile service delivery platform,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",adminsystems cms project adminsystems cms,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ericsson drutt mobile service delivery platform,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mobile domain project mobile domain,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",redirection project redirection,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",dell asset manager,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",fatfreecrm fat free crm,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",maarch gec%2fged,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",juniper junos,7.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",ibm websphere mq,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",htacg tidy,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm infosphere information server,5.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",novius-os novius os,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",novius-os novius os,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cagintranetworks getsimple cms,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",websense triton ap email,6.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle database server,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",mozilla firefox,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",oracle fusion middleware,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",oracle oracle and sun systems product suite,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle database server,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple mac os x,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",googlesearch project googlesearch,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",apple mac os x,7.2
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",ibm websphere message broker,3.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm tivoli directory server,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ibm domino,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm domino,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ibm websphere mq,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",emc rsa identity management and governance,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",emc atmos,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",emc documentum d2,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",emc documentum content server,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",emc documentum content server,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",emc documentum content server,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",emc documentum taskspace,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",ibs mappro project ibs mappro,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",concrete5 concrete5,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",openstack horizon,3.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",mcafee epo deep command,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",thecartpress thecartpress ecommerce shopping cart,4.3
